char,codepoint,file,line,column,entry,context
𥚃,U+25683,20250630-大.csv,1553,例句,守孝,例：一般來講，守孝个人無去廟肚燒香。(（一般而言，守孝的人不會去廟𥚃燒香。）)
𥚃,U+25683,20250630-安.csv,1526,例句,守孝,例：普通來講，守孝个人毋會去廟燒香。(一般而言，守孝的人不會去廟𥚃燒香。)
𥚃,U+25683,20250630-平.csv,1570,例句,守孝,例：一般來講，守孝个人無去廟肚燒香。(一般而言，守孝的人不會去廟𥚃燒香。)
𥚃,U+25683,20250630-海.csv,286,例句,舅公,例：阿婆還在个時節，舅公盡肯來屋下尞。(祖母還在世的時候，舅公時常到家𥚃來玩。)
𥚃,U+25683,20250630-海.csv,1571,例句,守孝,例：一般來講，守孝个人無去廟肚燒香。(一般而言，守孝的人不會去廟𥚃燒香。)
𥠊,U+2580A,20250630-南.csv,17488,相似詞,稈葇,穀𥠊
𥠊,U+2580A,20250630-平.csv,17204,例句,稈葇,例：割禾該下篩出來个稈𥠊還會有點穀，做得分雞仔食。(（割稻時篩出來的稻梗雜屑還會有些穀子，可以拿給雞吃。）)
𦃓,U+260D3,20250630-南.csv,4263,例句,捉猴仔,例：山頂个甜柿分猴仔耗爽盡多，阿爸做𦃓索來捉猴仔。(山上的甜柿被猴子糟蹋掉很多，爸爸做陷阱來捉猴子。) 例：佢疑狐厥老公同著人，就去尋人捉猴仔。(她懷疑她老公有外遇，就去找人捉姦。)
𦃓,U+260D3,20250630-大.csv,2756,例句,捉猴,例：山頂个甜柿分猴座爽已多，阿爸做𦃓來捉猴。(（山上的甜柿被猴子糟蹋掉很多，爸爸做陷阱來捉猴子。）) 例：佢疑狐厥老公同著人，請專人去捉猴。(（她懷疑她老公有外遇，特別請人去捉姦。）)
𦒨,U+264A8,20250630-四.csv,2912,相似詞,朗朗膨膨,㝗㝗㝩㝩　𦒨𦒨襎襎
𦒨,U+264A8,20250630-平.csv,2851,相似詞,朗朗膨膨,㝗㝗㝩㝩　𦒨𦒨襎襎　剌剌蹳蹳　㝗㝗膨膨
𦘅,U+26605,113四高.csv,2123,四縣客家語,耳聾𦘅,耳聾𦘅
𦘅,U+26605,113四高.csv,2123,例句,耳聾𦘅,例如：𠊎講麼个你就聽無，耳聾𦘅係無？
𦘅,U+26605,113大高.csv,2112,大埔客家語,耳聾𦘅,耳聾𦘅
𦘅,U+26605,113大高.csv,2112,例句,耳聾𦘅,例如：𠊎講麼个你都聽無，耳聾𦘅係無？
𦘅,U+26605,113平高.csv,2112,饒平客家語,耳聾𦘅,耳聾𦘅
𦘅,U+26605,113平高.csv,2112,例句,耳聾𦘅,例如：𠊎講麼个你就聽無，耳聾𦘅係無？
𦘅,U+26605,113海高.csv,2113,海陸客家語,耳聾𦘅,耳聾𦘅
𦘅,U+26605,113海高.csv,2113,例句,耳聾𦘅,例如：𠊎講麼个你就聽無，耳聾𦘅係無？
𦣇,U+268C7,113四高.csv,63,四縣客家語,肚𦣇,肚𦣇
