檔案,編號,欄位,類型,官方原始,現役
113海中高.csv,8-111,詞義例句合併,split-anomaly,矮而較穩重、無靠背的凳子。有「圓凳頭」、「四腳凳頭」。,矮而較穩重、無靠背的凳子。有「圓凳頭」、「四腳凳頭」。 ‖ 圓凳子。<br>四腳凳子。
113海中高.csv,8-111,翻譯,content-diff,圓凳子。四腳凳子。,
113海中高.csv,8-111,備註,content-diff,,名詞
113海中高.csv,8-111,詞性1,content-diff,名詞,
113海中高.csv,8-111,詞性2,content-diff,,8居家生活
113海中高.csv,8-111,分類,content-diff,8居家生活,
113海中高.csv,9-13,詞義例句合併,split-anomaly,飽飽的、滿滿的，形容充裕的樣子。例如「肚屎飽飽」、「賺到飽飽」。例如：這皮包恁細定定，分你弓到飽飽，裡背敢有幾下百萬？,"飽飽的、滿滿的，形容充裕的樣子。 ‖ 例如「肚屎飽飽」、「賺到飽飽」。<br>例如：這皮包恁細定定，分你弓到飽飽，裡背敢有幾下百萬？"""
113海中高.csv,9-174,詞義例句合併,split-anomaly,命不好，例如「怨命歪」。,命不好，例如「怨命歪」。 ‖ 抱怨命不好。
113海中高.csv,9-174,翻譯,content-diff,抱怨命不好。,
113海中高.csv,9-174,備註,content-diff,,形容詞
113海中高.csv,9-174,詞性1,content-diff,形容詞,
113海中高.csv,9-174,詞性2,content-diff,,9抽象概念與形容
113海中高.csv,9-174,分類,content-diff,9抽象概念與形容,
113海基.csv,5-43,標音,pinyin-letters,,nan
113海高.csv,(header),欄位,header-diff,"編號,客家語,標音,詞義例句合併,翻譯,備註,詞性1,詞性2,分類","編號,客家語,標音,詞義,例句,翻譯,備註,詞性1,詞性2,分類"
113海高.csv,10-327,詞義例句合併,split-anomaly,同一胎或同一批、同一世代。例如「共綱子」表同一胎之幼子、「共綱人」表同一世代之人、「共綱豬子」表同一胎小豬。例如：共綱豬子，有兜較大，有兜較細。,"同一胎或同一批、同一世代。,例如「共綱子」表同一胎之幼子、「共綱人」表同一世代之人、「共綱豬子」表同一胎小豬。<br>例如：共綱豬子，有兜較大，有兜較細。 ‖ 同一胎小豬，有些較大，有些較小。"
113海高.csv,10-327,翻譯,content-diff,同一胎小豬，有些較大，有些較小。,
113海高.csv,10-327,備註,content-diff,,名詞
113海高.csv,10-327,詞性1,content-diff,名詞,
113海高.csv,10-327,詞性2,content-diff,,10社會關係與行為
113海高.csv,10-327,分類,content-diff,10社會關係與行為,
113海高.csv,11-10,詞義例句合併,split-anomaly,交界。例如「兩合界」即指兩邊交界處。例如：阿賢伯戴在大湖摎獅潭合界个位所。,"交界。<br>例如「兩合界」即指兩邊交界處。 ‖ 例如：阿賢伯戴在大湖摎獅潭合界个位所。"""
113海高.csv,11-32,標音,tone-anomaly,liug ngiedˋ tienˋ gung ˋ,liug ngièd tièn gung ˋ
113海高.csv,15-1,詞義例句合併,split-anomaly,「coi+」為一截，常使用在竹木、甘蔗或長形物切成數段中的一段。「caiˇ」指的是一尺見方，是一種計算體積（長寬高相乘）的專有名詞，1立方英呎俗稱「1材」。,「cōi」為一截，常使用在竹木、甘蔗或長形物切成數段中的一段。「cǎi」指的是一尺見方，是一種計算體積（長寬高相乘）的專有名詞，1立方英呎俗稱「1材」。 ‖ 
113海高.csv,15-3,詞義例句合併,split-anomaly,「gong」指面、排（房子），例如「兩槓屋」；「gongˇ」為限定性字目，例如「兩槓𣛮」。,「gong」指面、排（房子），例如「兩槓屋」；「gǒng」為限定性字目，例如「兩槓𣛮」。 ‖ 
113海高.csv,16-32,詞義例句合併,split-anomaly,種子播入土中的動作。例如「點菜仁」，「點菜花籽」即撒播油菜花的種子。例如：種菜頭，大體用點仁較多，無看著有人用種秧。,"種子播入土中的動作。<br>例如「點菜仁」，「點菜花籽」即撒播油菜花的種子。 ‖ 例如：種菜頭，大體用點仁較多，無看著有人用種秧。"""
113海高.csv,3-12,詞義例句合併,split-anomaly,靠近熱源。例「煏燥來」。例如：買轉來个細尾魚仔，愛用細火煏分佢燥赤來，正會香酥好食。,"靠近熱源。,例「煏燥來」。 ‖ 例如：買轉來个細尾魚仔，愛用細火煏分佢燥赤來，正會香酥好食。"
113海高.csv,3-71,翻譯,content-diff,,「跺」，暫用字
113海高.csv,3-71,備註,content-diff,「跺」，暫用字,動詞
113海高.csv,3-71,詞性1,content-diff,動詞,
113海高.csv,3-71,詞性2,content-diff,,3外在活動與動作
113海高.csv,3-71,分類,content-diff,3外在活動與動作,
113海高.csv,8-531,詞性1,content-diff,形容詞,
113海高.csv,8-531,詞性2,content-diff,,形容詞
113海高.csv,8-531,分類,content-diff,8抽象概念與形容,
